Phase,Step,DCFR (Tabular Discounted CFR),Deep PDCFR (VR-DeepPDCFR+),Key Difference
3. Output,What you get,"Binary file (.cfr, .pio, etc.) containing the COMPLETE regret tree with converged strategies at every node","PyTorch model weights (state_dict) for: (1) average policy network, (2) per-player regret networks, (3) baseline network. Plus data.csv metrics","DCFR = a FILE containing a TREE. Deep PDCFR = a FILE containing NETWORK WEIGHTS"
3. Output,Output format,"Proprietary binary format specific to solver (PioSOLVER .cfr, GTO+ .gto, MonkerSolver .monk)","PyTorch .pt checkpoint files (portable). Currently saved in-memory; can torch.save(model.state_dict(), 'model.pt')","DCFR = vendor-locked binary. Deep PDCFR = standard PyTorch format"
3. Output,Output size,"Large: proportional to tree size. Each node stores strategy[combos x actions]. Can be hundreds of MB to GB per spot","Small: fixed ~5-10 MB regardless of game size (network parameters only)","DCFR output scales with game. Deep PDCFR output is constant size"
3. Output,What the output contains,"Complete strategy for every (info_set, action) pair at every node in the solved tree. Also stores regrets and EV for analysis","Learned function: given any game state as input -> outputs action probabilities. Generalizes to states not seen during training","DCFR = lookup table (exact answers for solved nodes only). Deep PDCFR = learned function (approximate answers for ANY state)"
3. Output,Logging/metrics,"Iteration count + final exploitability shown in GUI","data.csv with columns: step, nodes_touched, iteration, episode, exp, timestamps, regret_loss_0/1, baseline_loss_0/1","Deep PDCFR provides richer training diagnostics"
4. Usage/Query,How to view strategy,"Load binary file in solver GUI. Navigate the tree: click node -> see strategy (action frequencies per hand combo). Browse: flop -> turn -> river","Call model forward pass: ave_policy_trainer.action_probabilities(state) -> returns {action: probability} dict for that state","DCFR = visual tree browser. Deep PDCFR = programmatic API query"
4. Usage/Query,Querying a specific hand,"Select node in tree -> filter by specific hand -> see exact strategy (e.g. AhKd bets 75% for 60% on Qs9h3c flop)","Encode game state as tensor (infostate_size features) -> feed to network -> get action distribution. Works for ANY hand on ANY board","DCFR = manual GUI navigation. Deep PDCFR = feed state tensor and get answer instantly"
4. Usage/Query,Coverage,"Only the EXACT spots solved. Different board = solve again. Different bet size tree = solve again","ALL states in the game type the model was trained on. One model covers all boards/all hands/all lines","DCFR = solve each spot individually. Deep PDCFR = one model covers everything (the DEEP generalization advantage)"
4. Usage/Query,Accuracy per spot,"Exact (up to convergence tolerance). The strategy IS the Nash equilibrium for that specific tree","Approximate. Bounded by neural network function approximation error. Good but not exact","DCFR = exact per spot. Deep PDCFR = approximate but covers infinitely more spots"
4. Usage/Query,Inference speed,"Instant lookup: strategy is pre-computed in the binary file. O(1) per query","Neural net forward pass: ~1ms on GPU, ~10ms on CPU. O(network_depth) per query","Both fast at query time. DCFR slightly faster (table lookup) but Deep PDCFR still real-time"
5. Postflop Lib,Generation strategy,"Solve every flop (1755 strategically distinct flops) x every turn card x every river card x every bet size tree = MILLIONS of individual solves","Train ONE model per game configuration. Model generalizes across all boards. Or train per-street models","DCFR = millions of individual solves = 3000 years. Deep PDCFR = handful of training runs"
5. Postflop Lib,Storage for full library,"Massive: millions of binary files x hundreds of MB each = hundreds of TB total","Compact: one set of model weights ~5-10 MB per configuration. Total library could be <1 GB","DCFR library = hundreds of TB. Deep PDCFR library = under 1 GB"
5. Postflop Lib,Cloud deployment,"Must store and serve massive binary files. Each query requires loading the right file for that exact spot","Deploy model weights to cloud. Single model handles all queries via forward pass. Standard ML serving infrastructure","DCFR = massive storage + file routing. Deep PDCFR = standard ML model serving"
5. Postflop Lib,Cost estimate,"3000 years CPU time benchmark. Even parallelized across cloud: enormous compute cost + storage cost","Orders of magnitude less: GPU training for days-weeks + minimal storage. Cloud GPU cost is manageable","This is the core value proposition of Deep PDCFR for your project"
5. Postflop Lib,Updating/retraining,"Must re-solve every affected spot from scratch if bet sizing tree changes","Fine-tune existing model with additional training. Incremental updates possible","DCFR = start over. Deep PDCFR = continue training"
