Phase,Step,What Happens,Key File(s),Code Entry Point,Input,Output,Notes
2. Training,2.3 Initialize networks,"Solver creates 4 types of neural nets: regret(x2 players), avg policy, baseline",deeppdcfr/os_deep_cumu_adv_variants.py,"init_regret_trainers() (line ~162), init_q_value_trainer()","infostate_size, num_actions from game","MLP networks: input(infostate) -> hidden[64,64,64] -> output(num_actions)","Each regret trainer has 3 sub-networks: model, imm_model (immediate), target_model"
2. Training,2.4 solve() main loop,"Calls evaluate() for baseline, then runs iterations until num_episodes reached",deeppdcfr/os_deep_cumu_adv.py,"solver.solve() (line 148)","Initialized solver","Trained model weights + metrics","Each iteration processes both players. Evaluates every 3 iterations"
2. Training,2.5 Per-iteration: collect data,"For each player: run num_traversals (10K) DFS traversals through random game paths",deeppdcfr/os_deep_cumu_adv.py,"collect_training_data(player) -> dfs() (lines 168, 217-305)","Current game state + current network weights","Regret samples added to ReservoirBuffer, policy samples added to policy buffer","External sampling MCCFR: at opponent nodes sample ONE action, at our nodes try ALL actions"
2. Training,2.6 Per-iteration: train regret net,"Train the regret network on collected regret samples (750 SGD steps)",deeppdcfr/os_deep_cumu_adv_variants.py,"regret_trainers[player].train_model() (VRPDCFRPlusRegretTrainer lines 296-322)","ReservoirBuffer with (infostate, regret_target, legal_mask, iteration) tuples","Updated regret network weights","Loss combines immediate regrets + predicted long-term regrets with temporal weighting alpha=2.3"
2. Training,2.7 Per-iteration: train baseline,"Train Q-value baseline network for variance reduction",deeppdcfr/os_deep_cumu_adv_variants.py,"q_value_trainer.train_model()","CircularBuffer with (history, state, action, reward, legal_mask, next_state)","Updated baseline network weights","DQN-style training with target network. Reduces variance of regret estimates"
2. Training,2.8 Every 3 iters: train avg policy,"Train average policy network on accumulated policy data (5000 SGD steps)",deeppdcfr/os_deep_cumu_adv.py,"ave_policy_trainer.train_model() (lines 483-552)","Policy buffer with (infostate, action_probs) from traversals","Updated average policy network weights","This is the FINAL strategy network used at inference time. Softmax output = action probabilities"
2. Training,2.9 Every 3 iters: evaluate,"Compute exploitability of current strategy against best response",deeppdcfr/os_deep_cumu_adv.py,"evaluate() called in iteration()","Current average policy network","Exploitability value (lower = closer to Nash equilibrium)","Logged to data.csv. Watch this number decrease over training. Target: <1% of pot"
2. Training,2.10 Monitor convergence,"Check data.csv or TensorBoard for exploitability trend","logs/{algo}/{game}/{run_id}/data.csv","Open CSV or tensorboard --logdir logs/","Training metrics over time","Exploitability curve, regret losses, episode count","Stop training when exploitability plateaus or reaches acceptable level"
3. Store Model,3.1 Auto-save during training,"Logger automatically saves model state_dicts to .pkl files during training",deeppdcfr/logger.py,"SacredWriter saves via torch.save(model.state_dict(), path) (line 271)","nn.Module objects","logs/{algo}/{game}/{run_id}/{model_name}/{model_name}_{step}.pkl files","Saved periodically based on logging schedule. Multiple checkpoints kept"
3. Store Model,3.2 Manual checkpoint save,"Can also manually save the key model after training","(custom code needed)","torch.save(solver.ave_policy_trainer.model.state_dict(), 'models/FHP/policy.pt')","Trained model state_dict","Single .pt file (~5-10 MB)","The average policy network is what you need for inference. Regret nets only needed to resume training"
3. Store Model,3.3 What to save,"For inference: save avg policy net. For resume training: save all 4 net types + buffers","(custom code needed)","torch.save({'policy': policy_sd, 'regret_0': r0_sd, 'regret_1': r1_sd, 'baseline': b_sd}, path)","Multiple state_dicts","Single checkpoint file with all models","Also save the config YAML alongside for reproducibility"
3. Store Model,3.4 Model file structure,"Organize saved models in models/ directory",models/,"models/FHP/policy.pt + models/FHP/config.yaml","Model weights + config","Organized model directory","Keep game_name, network architecture params, and training metadata together"
4. Load Model,4.1 Recreate network architecture,"Must recreate the same MLP architecture before loading weights",deeppdcfr/os_deep_cumu_adv.py,"MLP(input_size=infostate_size, output_size=num_actions, hidden_sizes=[64,64,64]) (lines 667-687)","Architecture params from config","Empty MLP network with correct shape","MUST match the architecture used during training exactly (same layers, hidden sizes)"
4. Load Model,4.2 Load state dict,"Load saved weights into the recreated network","(custom code needed)","model.load_state_dict(torch.load('models/FHP/policy.pt')); model.eval()","Path to .pt file","Model ready for inference","Call model.eval() to disable dropout/batchnorm (if any). Set torch.no_grad() for inference"
4. Load Model,4.3 Recreate game,"Need the game object to convert user queries into infostate tensors",deeppdcfr/game.py,"game_config = FHP(); game = game_config.load_game()","Game name","OpenSpiel game object","The game object provides: infostate_size, num_actions, legal_actions, state encoding"
4. Load Model,4.4 Build inference wrapper,"Create a wrapper that takes a game state and returns action probabilities","(custom code needed)","def get_strategy(state): infostate = state.information_state_tensor(); logits = model(tensor); return softmax(logits * legal_mask)","Game state object","Dict of {action_name: probability}","This wrapper handles: tensor encoding, forward pass, legal action masking, regret matching or softmax"
5. Create API,5.1 Choose web framework,"Pick a Python web framework for serving the model","(new file: api/server.py)","FastAPI recommended (async, auto-docs, lightweight)","Framework choice","API scaffold","FastAPI gives you /docs endpoint for free. Flask is simpler alternative"
5. Create API,5.2 Define request schema,"Define what the API accepts: game state description","(new file: api/server.py)","POST /strategy with body: {player: 0, history: ['check', 'bet_100'], board: ['Ah','Kd','7s'], hand: ['Qs','Jh']}","JSON schema","Pydantic model for validation","For FHP: player position + action history + board cards + hole cards"
5. Create API,5.3 State reconstruction,"Convert API request into an OpenSpiel game state",deeppdcfr/game.py,"game.new_initial_state() -> replay action history to reach current state","API request params","OpenSpiel State object at the queried decision point","Must map human-readable actions (check/bet/fold) to OpenSpiel action IDs"
5. Create API,5.4 Model forward pass,"Run the loaded model on the reconstructed state","(new file: api/server.py)","with torch.no_grad(): logits = model(infostate_tensor); strategy = regret_match_or_softmax(logits, legal_mask)","State tensor","Raw action probabilities array [num_actions]","~1ms on MPS, ~10ms on CPU per query"
5. Create API,5.5 Format response,"Convert raw model output to human-readable strategy","(new file: api/server.py)","Map action indices to names, pair with probabilities, return JSON","Raw probabilities + legal actions","JSON: {actions: [{name: 'fold', prob: 0.05}, {name: 'call', prob: 0.35}, {name: 'raise', prob: 0.60}]}","Filter to legal actions only. Include EV estimates if available"
5. Create API,5.6 Run API server,"Start the FastAPI server","(new file: api/server.py)","uvicorn api.server:app --host 0.0.0.0 --port 8000","Config + model path","Running HTTP server on port 8000","Model loaded once at startup, kept in memory for fast inference"
6. Get Solution,6.1 Send query,"Client sends POST request to the API","(any HTTP client)","curl -X POST http://localhost:8000/strategy -d '{""player"":0, ""history"":[""check""], ""board"":[""Ah"",""Kd"",""7s""], ""hand"":[""Qs"",""Jh""]}'","JSON game state","JSON strategy response","Can also use Python requests, JavaScript fetch, or the /docs Swagger UI"
6. Get Solution,6.2 Interpret response,"Read the action probabilities returned","(client side)","Response: {actions: [{name:'check', prob:0.45}, {name:'bet', prob:0.55}], exploitability: 0.8}","JSON response","Human-readable GTO strategy for that spot","Probabilities sum to 1.0. Higher prob = preferred action. Mixed strategy = randomize according to probs"
6. Get Solution,6.3 Range-level view,"Query ALL hands at one decision point to see full range strategy","(batch API endpoint)","POST /range with body: {player: 0, history: ['check'], board: ['Ah','Kd','7s']} -- loops over all 1326 combos","Board + history (no specific hand)","Full range: {hand: strategy} for all possible holdings","This gives you the GTO range chart similar to PioSOLVER output. ~1-2 seconds for all 1326 combos"
6. Get Solution,6.4 Compare to solver,"Validate model accuracy by comparing to known solver output (if available)","(analysis script)","Compare model.action_probabilities(state) vs known_solver_strategy[state] across sample of states","Model output + reference solver output","Accuracy metrics: avg KL divergence, max strategy error per action","For FHP: can compute exact Nash and compare. For NLH: compare against PioSOLVER exports if available"
